"Journal";"ISSN";"Abbreviated.Journal.Title";"X.2014..Total.Cites";"Impact.Factor";"X5.Year.Impact.Factor";"Immediacy.Index";"X.2014..Articles";"Cited.Half.Life";"Eigenfactor.Score";"Article.Influence.Score";"categoria"
"Revista de Biologia (Lisbon)";"0034-7736";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"REVUE SUISSE DE ZOOLOGIE";"0035-418X";"REV SUISSE ZOOL";806;0.431;0.397;0.087;23;">10.0";0.00036;0.146;"ZOOLOGY"
"Saugetierkundliche Mitteilungen";"0036-2344";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mitteilungen der Schweizerischen Entomologischen Gesellschaft";"0036-7575";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SCHWEIZERISCHE MINERALOGISCHE UND PETROGRAPHISCHE MITTEILUNGEN";"0036-7699";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SILVA FENNICA";"0037-5330";"SILVA FENN";1467;1.177;1.728;0.057;35;"8.3";0.00213;0.486;"FORESTRY"
"Bulletin de la Societe Botanique de France";"0037-8941";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE";"0037-9271";"ANN SOC ENTOMOL FR";1207;0.513;0.673;0.122;41;">10.0";8e-04;0.225;"ENTOMOLOGY"
"Bulletin de la Societe Royale des Sciences de Liege";"0037-9565";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SOIL SCIENCE";"0038-075X";"SOIL SCI";5698;0.792;1.289;0.022;46;">10.0";0.00254;0.409;"SOIL SCIENCE"
"STUDIA GEOPHYSICA ET GEODAETICA";"0039-3169";"STUD GEOPHYS GEOD";602;0.806;0.834;0.2;35;"9.7";0.00114;0.332;"GEOCHEMISTRY & GEOPHYSICS"
"TALANTA";"0039-9140";"TALANTA";30707;3.545;3.67;0.859;716;"5.8";0.05028;0.757;"CHEMISTRY, ANALYTICAL"
"TAXON";"0040-0262";"TAXON";4476;3.299;3.109;0.548;93;"8.4";0.00758;0.961;"PLANT SCIENCES"
"TAXON";"0040-0262";"TAXON";4476;3.299;3.109;0.548;93;"8.4";0.00758;0.961;"EVOLUTIONARY BIOLOGY"
"TECTONOPHYSICS";"0040-1951";"TECTONOPHYSICS";21586;2.872;3.131;0.726;380;">10.0";0.03311;1.182;"GEOCHEMISTRY & GEOPHYSICS"
"WILSON BULLETIN";"0043-5643";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ziva";"0044-4812";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
